name,type,tie,nodes,edges,degree_mean,degree_max,degree_min,diameter,triangles,average_clustering,eig_cent_mean,eig_cent_max,eig_cent_min,density,eig_cent_range,eig_cent_ratio,eig_cent_logratio,degree_range,degree_ratio,caught_proportion_0.25_greedy_eigenvector,caught_proportion_0.25_greedy_random,caught_proportion_0.25_naive_random,caught_proportion_1.0_greedy_eigenvector,caught_proportion_1.0_greedy_random,caught_proportion_1.0_naive_random,caught_rel_0.25_greedy_eigenvector,caught_rel_0.25_greedy_random,caught_rel_0.25_naive_random,caught_rel_1.0_greedy_eigenvector,caught_rel_1.0_greedy_random,caught_rel_1.0_naive_random,eigen_proportion_0.25_greedy_eigenvector,eigen_proportion_0.25_greedy_random,eigen_proportion_0.25_naive_random,eigen_proportion_1.0_greedy_eigenvector,eigen_proportion_1.0_greedy_random,eigen_proportion_1.0_naive_random
togo,gang,coparticipation,33,47,2.8,19,1,4,14,0.5,0.14,0.6,0.032,0.089,0.6,18.6,2.9,18,19,61.1,62.4,74.6,274.3,272.9,277.2,4.7,5.6,5.3,274.3,272.9,277.2,31.4,32,47.7,274.3,272.9,277.2
mali_terrorists,terrorism,coparticipation,36,67,3.7,11,1,7,43,0.4,0.12,0.4,0.0072,0.11,0.4,53.2,4,10,11,52.7,55.2,67.7,267.7,265.3,279.4,9.1,9.2,9.8,267.7,265.3,279.4,47.2,50.1,63.4,267.7,265.3,279.4
london_gang,gang,coparticipation,54,315,11.7,25,2,4,4321,0.6,0.11,0.2,0.0088,0.22,0.2,28.4,3.3,23,12.5,53.7,52.3,81.9,190.6,194.3,228.7,38.8,36.5,54.8,190.6,194.3,228.7,42.7,41.5,67.8,190.6,194.3,228.7
Islamic_state_group,terrorism,coparticipation,25,27,2.2,9,1,4,3,0.1,0.16,0.5,0.044,0.09,0.5,12.4,2.5,8,9,53.2,54.2,59,223.1,231.6,229.1,4.4,4.9,4.2,223.1,231.6,229.1,31.1,31,33.8,223.1,231.6,229.1
heroin_natarjan,drugs,comms,38,87,4.6,20,1,4,46,0.4,0.14,0.4,0.033,0.12,0.4,12.9,2.6,19,20,58.2,58.6,81.4,235.2,239.7,272.4,14.8,15,17.6,235.2,239.7,272.4,42.4,43.3,65.3,235.2,239.7,272.4
italian_gangs,gang,coparticipation,65,113,3.5,21,1,6,57,0.4,0.093,0.4,0.0069,0.054,0.4,63.6,4.2,20,21,103.2,105.4,139.2,501,495,532.2,11.1,9.7,11.8,501,495,532.2,49.8,56.7,91.4,501,495,532.2
cocaine_mambo,drugs,comms,31,58,3.7,15,1,4,35,0.4,0.14,0.5,0.02,0.12,0.4,23.6,3.2,14,15,48.5,47,64.4,229.8,225.8,242.6,11.3,10.9,12.5,229.8,225.8,242.6,33.6,32.2,50.4,229.8,225.8,242.6
cocaine_jake,drugs,comms,38,50,2.6,12,1,4,15,0.1,0.12,0.5,0.027,0.071,0.4,16.6,2.8,11,12,68.4,67.2,84.7,336,334.3,341.9,7.3,6.3,7.3,336,334.3,341.9,41.9,40.5,54.6,336,334.3,341.9
17Nov_greece,terrorism,kinship,18,46,5.1,17,1,2,940,0.7,0.2,0.4,0.063,0.3,0.4,7.2,2,16,17,28.8,30.2,36,107,107,116.2,11.3,11.5,14.2,107,107,116.2,23.8,25.9,29.4,107,107,116.2
17Nov_greece,terrorism,coparticipation,18,46,5.1,17,1,2,940,0.7,0.2,0.4,0.063,0.3,0.4,7.2,2,16,17,28.8,30.2,36,107,107,116.2,11.3,11.5,14.2,107,107,116.2,23.8,25.9,29.4,107,107,116.2
caviar,drugs,comms,110,205,3.7,60,1,5,646230,0.3,0.065,0.5,0.0024,0.034,0.5,223.7,5.4,59,60,137.6,142.9,223.6,848.2,838.9,875.5,22.2,22.7,22.6,848.2,838.9,875.5,52.1,58.4,129.4,848.2,838.9,875.5
al_qaeda,terrorism,kinship,125,312,5,17,1,10,361,0.6,0.036,0.3,2.8E-06,0.04,0.3,114171.3,11.6,16,17,177.2,176.2,224.7,816.6,833.6,859.7,13.4,15,18.6,816.6,833.6,859.7,304.7,278.6,364.8,816.6,833.6,859.7
911_hijackers,terrorism,kinship,61,131,4.3,15,1,7,171,0.5,0.076,0.4,0.0017,0.072,0.4,262.8,5.6,14,15,104.5,98.6,119.2,413.5,412.2,439.1,10.2,9.4,14.3,413.5,412.2,439.1,94.9,75.4,90.7,413.5,412.2,439.1
cocaine_juanes,drugs,comms,51,93,3.6,16,1,7,46,0.4,0.094,0.5,0.0013,0.073,0.5,359,5.9,15,16,82.1,80.1,102.4,389.8,385.9,408.8,7.8,8.6,11.5,389.8,385.9,408.8,58,57.7,78.4,389.8,385.9,408.8
cocaine_acero,drugs,comms,25,37,3,13,1,5,12,0.3,0.16,0.5,0.02,0.12,0.5,25,3.2,12,13,47.3,45.5,55.7,203.7,200.1,211.9,5.6,6.3,6.2,203.7,200.1,211.9,29.3,27.2,36.1,203.7,200.1,211.9
noordin_top,terrorism,kinship,78,623,16,55,1,4,15961,0.7,0.094,0.3,0.0014,0.21,0.3,189.9,5.2,54,55,61.5,59.7,104.2,233.7,226.9,280.2,49.5,48.6,84.3,233.7,226.9,280.2,52,49.9,87.7,233.7,226.9,280.2
noordin_top,terrorism,coparticipation,78,623,16,55,1,4,15961,0.7,0.094,0.3,0.0014,0.21,0.3,189.9,5.2,54,55,61.5,59.7,104.2,233.7,226.9,280.2,49.5,48.6,84.3,233.7,226.9,280.2,52,49.9,87.7,233.7,226.9,280.2
noordin_top,terrorism,comms,78,623,16,55,1,4,15961,0.7,0.094,0.3,0.0014,0.21,0.3,189.9,5.2,54,55,61.5,59.7,104.2,233.7,226.9,280.2,49.5,48.6,84.3,233.7,226.9,280.2,52,49.9,87.7,233.7,226.9,280.2
ndrangheta_mafia,gang,coparticipation,151,1619,21.4,75,4,5,89103,0.8,0.061,0.2,0.00079,0.14,0.2,286.1,5.7,71,18.8,84.5,82.6,161.7,331.2,328.3,429.2,57.7,59,132.1,331.2,328.3,429.2,68.1,65.1,127.6,331.2,328.3,429.2
montagna,gang,comms,135,320,4.7,40,1,6,16745,0.5,0.058,0.3,0.0015,0.035,0.3,210.2,5.3,39,40,155.9,154.4,252.2,906.8,906.5,929.5,27.6,30.8,34.3,906.8,906.5,929.5,73.7,75.7,150.8,906.8,906.5,929.5
