"",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,12,0,12,10,3,5,2,2,0,0,0,1,0,0,0,0,2,3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0,12,10,3,5,2,2,0,0,0,1,0,0,0,0,2,3
4,10,0,10,10,2,3,2,2,0,0,0,1,0,0,0,0,2,2
5,3,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2
6,5,0,5,3,3,5,0,1,0,0,0,0,0,0,0,0,0,2
7,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,2,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0
18,3,0,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,3
